tc_id	model	rate	t_fall	t_rise	v_final	v_inter	GeneName	exp_id	TF
71	sigmoid	0.29756614565849304	NA	30.996551513671875	NA	-0.33986547589302063	CHL1	1	ACA1
72	sigmoid	0.28657957911491394	NA	52.72783279418945	NA	-0.7069137692451477	CIK1	1	ACA1
73	sigmoid	0.12392881512641907	NA	46.11857604980469	NA	-1.043728232383728	CIN2	1	ACA1
74	sigmoid	0.34863075613975525	NA	15.843338966369629	NA	5.068282127380371	CIN5	1	ACA1
75	sigmoid	0.26491105556488037	NA	46.72096252441406	NA	-0.8098388314247131	CIN8	1	ACA1
76	sigmoid	0.2749779522418976	NA	52.710323333740234	NA	0.5347963571548462	CIR2	1	ACA1
77	sigmoid	0.34183913469314575	NA	31.486059188842773	NA	-0.9082684516906738	CIS1	1	ACA1
78	sigmoid	0.2331984043121338	NA	25.004146575927734	NA	-1.3798128366470337	CLB1	1	ACA1
79	sigmoid	0.5062562823295593	NA	8.764168739318848	NA	-0.5652194619178772	CLB2	1	ACA1
80	sigmoid	0.1993153840303421	NA	36.57630157470703	NA	-0.44818419218063354	CLB3	1	ACA1
81	sigmoid	0.12489666789770126	NA	41.16919708251953	NA	-1.9098482131958008	CLB6	1	ACA1
82	sigmoid	0.3215123116970062	NA	33.76097869873047	NA	0.58628910779953	CLD1	1	ACA1
83	sigmoid	0.12051679193973541	NA	44.193023681640625	NA	-1.3867279291152954	CLN1	1	ACA1
84	sigmoid	0.2797480821609497	NA	29.678407669067383	NA	-0.9337242245674133	CLN2	1	ACA1
85	sigmoid	0.9772130250930786	NA	12.139936447143555	NA	0.7502961158752441	CMR3	1	ACA1
86	sigmoid	0.2747306823730469	NA	49.44581604003906	NA	0.5033929347991943	COQ6	1	ACA1
87	sigmoid	0.14422082901000977	NA	25.5323486328125	NA	0.6134466528892517	COX12	1	ACA1
88	sigmoid	0.11001867055892944	NA	29.68462562561035	NA	0.5850933194160461	COX13	1	ACA1
89	sigmoid	0.11370738595724106	NA	28.48844337463379	NA	-0.5684652328491211	COX15	1	ACA1
90	sigmoid	0.1638493686914444	NA	32.10757827758789	NA	0.7414270043373108	COX17	1	ACA1
91	sigmoid	0.9886840581893921	NA	7.202602863311768	NA	0.7557798624038696	COX2	1	ACA1
92	sigmoid	0.9219077825546265	NA	7.198163986206055	NA	0.6523643732070923	COX3	1	ACA1
93	sigmoid	0.41148102283477783	NA	19.77998924255371	NA	0.506630003452301	COX4	1	ACA1
94	sigmoid	0.2017923891544342	NA	18.512313842773438	NA	0.5493917465209961	COX5A	1	ACA1
95	sigmoid	0.22002872824668884	NA	24.635236740112305	NA	0.5359731316566467	COX6	1	ACA1
96	sigmoid	0.23686279356479645	NA	22.817485809326172	NA	0.6138970255851746	COX7	1	ACA1
97	sigmoid	0.5773398280143738	NA	19.4193115234375	NA	0.8263735175132751	CPA1	1	ACA1
98	sigmoid	0.39473551511764526	NA	22.648794174194336	NA	0.7029692530632019	CPA2	1	ACA1
99	sigmoid	0.2643819749355316	NA	48.1949577331543	NA	-0.6320942044258118	CSE4	1	ACA1
100	sigmoid	0.11878333240747452	NA	42.42820358276367	NA	-1.513817310333252	CSI2	1	ACA1
101	sigmoid	0.2702910006046295	NA	49.24503707885742	NA	-0.47342202067375183	CSM1	1	ACA1
102	sigmoid	0.3766198754310608	NA	37.35728454589844	NA	-0.5757395625114441	CSM2	1	ACA1
103	sigmoid	0.17349685728549957	NA	39.18580627441406	NA	-0.8640557527542114	CTF18	1	ACA1
104	sigmoid	0.14971251785755157	NA	49.88385772705078	NA	-0.7404583692550659	CTF3	1	ACA1
105	sigmoid	0.25855767726898193	NA	44.40711975097656	NA	-0.4858814477920532	CTF4	1	ACA1
106	sigmoid	0.13440653681755066	NA	36.332664489746094	NA	-0.5867652297019958	CTR1	1	ACA1
107	sigmoid	0.5606210827827454	NA	7.467707633972168	NA	-0.3518844544887543	CTR9	1	ACA1
108	sigmoid	0.162237286567688	NA	38.68967819213867	NA	2.709259033203125	CTT1	1	ACA1
109	sigmoid	0.280683696269989	NA	35.69517517089844	NA	1.073814034461975	CWP1	1	ACA1
110	sigmoid	0.23509342968463898	NA	16.357769012451172	NA	0.8153769373893738	CYC1	1	ACA1
111	sigmoid	0.17035530507564545	NA	34.856388092041016	NA	2.6353321075439453	CYC7	1	ACA1
112	sigmoid	0.17987047135829926	NA	39.462398529052734	NA	-1.03317391872406	CYC8	1	ACA1
113	sigmoid	0.33974242210388184	NA	29.53227996826172	NA	0.6799829602241516	CYT1	1	ACA1
114	sigmoid	0.2597258985042572	NA	44.17231750488281	NA	-0.5169705748558044	DAD3	1	ACA1
115	sigmoid	0.2348932921886444	NA	49.447059631347656	NA	1.4267311096191406	DAK1	1	ACA1
116	sigmoid	0.085578814148902893	NA	44.209922790527344	NA	4.452757358551025	DAK2	1	ACA1
